cours_id,competence_id
C0001,K01
C0001,K04
C0002,K21
C0002,K02
C0003,K03
C0004,K02
C0005,K04
C0005,K05
C0005,K21
C0006,K04
C0007,K02
C0008,K02
C0009,K05
C0009,K21
C0010,K21
C0011,K01
C0012,K01
C0012,K21
C0013,K02
C0014,K02
C0014,K04
C0015,K05
C0015,K01
C0015,K03
C0016,K02
C0017,K02
C0017,K21
C0017,K03
C0018,K04
C0019,K01
C0019,K04
C0020,K01
C0021,K21
C0021,K04
C0021,K01
C0022,K01
C0023,K04
C0024,K02
C0025,K05
C0026,K21
C0026,K01
C0026,K04
C0027,K04
C0027,K05
C0028,K02
C0028,K05
C0029,K03
C0030,K02
C0030,K21
C0030,K03
C0031,K04
C0031,K03
C0032,K01
C0032,K04
C0032,K05
C0033,K04
C0033,K01
C0033,K05
C0034,K05
C0034,K21
C0035,K04
C0035,K21
C0036,K03
C0036,K01
C0037,K21
C0038,K21
C0038,K02
C0038,K01
C0039,K02
C0039,K04
C0039,K01
C0040,K21
C0040,K03
C0041,K05
C0041,K03
C0041,K21
C0042,K02
C0042,K04
C0043,K03
C0043,K21
C0043,K04
C0044,K05
C0044,K02
C0045,K01
C0046,K01
C0046,K05
C0047,K04
C0047,K02
C0048,K04
C0049,K02
C0050,K05
C0050,K02
C0050,K03
C0051,K04
C0051,K21
C0052,K03
C0052,K05
C0053,K01
C0054,K05
C0054,K03
C0054,K21
C0055,K02
C0055,K03
C0055,K05
C0056,K04
C0056,K21
C0057,K01
C0057,K02
C0057,K04
C0058,K03
C0058,K21
C0058,K02
C0059,K03
C0059,K05
C0059,K21
C0060,K03
C0060,K02
C0061,K05
C0062,K01
C0062,K02
C0062,K04
C0063,K03
C0063,K05
C0064,K21
C0065,K02
C0066,K04
C0067,K01
C0067,K02
C0067,K04
C0068,K03
C0068,K05
C0069,K02
C0069,K03
C0070,K01
C0070,K21
C0071,K01
C0071,K05
C0072,K21
C0072,K04
C0073,K21
C0073,K05
C0074,K01
C0074,K02
C0074,K05
C0075,K04
C0075,K03
C0076,K01
C0077,K01
C0078,K02
C0078,K05
C0079,K04
C0079,K03
C0080,K21
C0080,K02
C0081,K21
C0082,K21
C0082,K01
C0082,K04
C0083,K01
C0084,K04
C0084,K03
C0084,K02
C0085,K05
C0085,K06
C0085,K07
C0086,K05
C0086,K07
C0087,K05
C0088,K22
C0089,K08
C0089,K22
C0090,K09
C0091,K08
C0092,K22
C0093,K08
C0093,K22
C0094,K07
C0094,K08
C0094,K06
C0095,K07
C0095,K09
C0096,K22
C0096,K07
C0096,K08
C0097,K22
C0098,K22
C0098,K08
C0098,K05
C0099,K08
C0099,K22
C0099,K06
C0100,K22
C0100,K07
C0100,K06
C0101,K05
C0102,K06
C0102,K08
C0103,K05
C0104,K08
C0104,K07
C0105,K22
C0106,K07
C0106,K08
C0106,K09
C0107,K08
C0107,K05
C0108,K08
C0108,K09
C0108,K07
C0109,K08
C0110,K08
C0111,K08
C0112,K05
C0113,K22
C0113,K07
C0113,K05
C0114,K06
C0114,K07
C0115,K05
C0115,K07
C0116,K06
C0116,K08
C0116,K05
C0117,K09
C0117,K07
C0117,K08
C0118,K07
C0118,K06
C0118,K09
C0119,K06
C0120,K05
C0120,K07
C0121,K09
C0121,K08
C0122,K09
C0122,K08
C0123,K05
C0123,K22
C0124,K09
C0124,K06
C0124,K08
C0125,K09
C0125,K06
C0126,K09
C0127,K07
C0128,K22
C0129,K07
C0129,K06
C0130,K05
C0130,K07
C0130,K06
C0131,K08
C0131,K06
C0132,K05
C0132,K06
C0132,K22
C0133,K22
C0133,K08
C0134,K09
C0134,K05
C0135,K09
C0135,K05
C0136,K06
C0137,K07
C0137,K08
C0137,K06
C0138,K08
C0138,K05
C0139,K22
C0139,K08
C0140,K09
C0141,K05
C0141,K22
C0141,K08
C0142,K09
C0142,K08
C0143,K08
C0144,K05
C0144,K09
C0144,K08
C0145,K05
C0145,K07
C0145,K08
C0146,K05
C0146,K08
C0146,K22
C0147,K05
C0148,K06
C0148,K09
C0149,K09
C0150,K09
C0150,K08
C0151,K09
C0152,K09
C0153,K07
C0153,K06
C0153,K09
C0154,K06
C0154,K22
C0154,K07
C0155,K08
C0156,K06
C0156,K09
C0157,K05
C0157,K07
C0158,K05
C0158,K07
C0158,K06
C0159,K06
C0160,K07
C0161,K07
C0161,K22
C0161,K08
C0162,K06
C0162,K08
C0162,K05
C0163,K08
C0164,K08
C0165,K08
C0165,K06
C0166,K09
C0166,K08
C0167,K22
C0167,K07
C0168,K08
C0168,K05
C0168,K06
C0169,K08
C0169,K10
C0169,K09
C0170,K09
C0171,K12
C0172,K08
C0173,K12
C0173,K10
C0173,K09
C0174,K09
C0175,K08
C0176,K08
C0176,K12
C0177,K12
C0177,K11
C0178,K08
C0179,K09
C0180,K10
C0181,K08
C0181,K09
C0181,K10
C0182,K12
C0182,K11
C0183,K10
C0183,K12
C0184,K12
C0184,K08
C0185,K09
C0186,K10
C0187,K11
C0188,K09
C0189,K11
C0189,K10
C0189,K12
C0190,K08
C0190,K09
C0190,K12
C0191,K08
C0192,K12
C0192,K08
C0193,K11
C0194,K12
C0194,K09
C0194,K11
C0195,K08
C0195,K09
C0195,K11
C0196,K09
C0197,K12
C0197,K09
C0198,K11
C0199,K12
C0200,K11
C0200,K09
C0201,K11
C0201,K08
C0201,K10
C0202,K09
C0202,K08
C0203,K09
C0204,K11
C0205,K10
C0205,K08
C0205,K11
C0206,K09
C0207,K11
C0207,K09
C0208,K12
C0208,K08
C0208,K09
C0209,K12
C0209,K10
C0209,K11
C0210,K09
C0210,K08
C0210,K12
C0211,K09
C0211,K11
C0212,K08
C0213,K09
C0213,K12
C0214,K08
C0215,K11
C0215,K08
C0216,K09
C0216,K12
C0217,K11
C0218,K11
C0219,K08
C0219,K09
C0220,K11
C0220,K10
C0221,K12
C0221,K10
C0222,K09
C0222,K10
C0222,K12
C0223,K10
C0223,K08
C0224,K12
C0224,K08
C0225,K10
C0225,K12
C0225,K11
C0226,K12
C0226,K08
C0226,K10
C0227,K12
C0228,K10
C0228,K09
C0229,K08
C0229,K11
C0230,K11
C0231,K09
C0232,K08
C0232,K12
C0233,K11
C0233,K12
C0233,K08
C0234,K11
C0234,K10
C0234,K12
C0235,K12
C0236,K11
C0236,K08
C0237,K12
C0238,K11
C0238,K08
C0239,K11
C0240,K08
C0240,K12
C0241,K10
C0241,K12
C0242,K08
C0243,K08
C0244,K12
C0245,K11
C0246,K12
C0246,K08
C0246,K09
C0247,K11
C0248,K11
C0248,K09
C0248,K12
C0249,K08
C0250,K09
C0250,K12
C0251,K08
C0251,K12
C0252,K12
C0252,K10
C0253,K14
C0253,K15
C0253,K16
C0254,K09
C0255,K09
C0255,K13
C0255,K14
C0256,K13
C0257,K09
C0257,K14
C0257,K15
C0258,K16
C0259,K13
C0259,K16
C0259,K09
C0260,K16
C0260,K15
C0261,K14
C0261,K13
C0261,K16
C0262,K13
C0262,K15
C0262,K16
C0263,K09
C0263,K13
C0264,K15
C0265,K09
C0265,K16
C0265,K15
C0266,K14
C0267,K13
C0267,K14
C0268,K16
C0269,K16
C0269,K09
C0269,K13
C0270,K14
C0271,K14
C0271,K16
C0272,K15
C0272,K16
C0272,K09
C0273,K16
C0274,K15
C0275,K13
C0275,K09
C0275,K14
C0276,K13
C0277,K09
C0277,K15
C0277,K14
C0278,K09
C0278,K15
C0279,K16
C0280,K14
C0281,K14
C0281,K09
C0282,K13
C0282,K16
C0282,K15
C0283,K15
C0283,K14
C0283,K16
C0284,K13
C0284,K16
C0284,K14
C0285,K16
C0286,K13
C0287,K15
C0287,K09
C0288,K14
C0289,K15
C0289,K13
C0289,K09
C0290,K16
C0290,K15
C0291,K13
C0291,K15
C0292,K15
C0293,K09
C0294,K13
C0294,K14
C0295,K09
C0296,K13
C0297,K15
C0297,K13
C0298,K14
C0298,K15
C0298,K13
C0299,K09
C0299,K15
C0299,K16
C0300,K13
C0300,K09
C0300,K14
C0301,K16
C0302,K15
C0302,K09
C0302,K16
C0303,K16
C0304,K14
