nom,pays,latitude,longitude
Montréal,Canada,45.5019,-73.5674
Québec,Canada,46.8139,-71.208
Laval,Canada,45.6066,-73.7124
Gatineau,Canada,45.4765,-75.7013
Sherbrooke,Canada,45.4042,-71.8929
Toronto,Canada,43.6532,-79.3832
Paris,France,48.8566,2.3522
Lyon,France,45.764,4.8357
Marseille,France,43.2965,5.3698
Bruxelles,Belgique,50.8503,4.3517
Genève,Suisse,46.2044,6.1432
Tunis,Tunisie,36.8065,10.1815
Casablanca,Maroc,33.5731,-7.5898
Alger,Algérie,36.7538,3.0588
Dakar,Sénégal,14.7167,-17.4677
Abidjan,Côte d’Ivoire,5.3599,-4.0083
