etudiant_id,cours_id,date,progression,note
E0001,C0028,2024-04-01,100,3
E0001,C0036,2024-06-05,100,2
E0001,C0050,2023-09-19,100,
E0001,C0035,2024-05-21,100,5
E0001,C0067,2023-06-13,100,1
E0001,C0025,2024-03-17,0,
E0001,C0040,2023-10-17,0,
E0001,C0190,2023-12-10,11,
E0002,C0021,2027-05-15,9,
E0002,C0014,2026-07-12,100,
E0002,C0229,2026-10-15,100,3
E0003,C0329,2025-11-30,41,
E0003,C0330,2025-04-25,65,
E0003,C0322,2025-07-08,0,
E0003,C0307,2026-01-20,100,
E0003,C0299,2025-08-15,100,
E0003,C0282,2025-07-21,0,
E0003,C0269,2025-06-08,100,3
E0003,C0413,2025-10-17,100,4
E0004,C0447,2023-11-30,10,
E0004,C0497,2024-10-17,100,5
E0004,C0456,2024-04-17,28,
E0004,C0436,2023-11-02,100,
E0004,C0493,2023-11-10,14,
E0004,C0491,2023-12-01,0,
E0004,C0261,2024-04-03,100,3
E0005,C0264,2024-04-07,0,
E0005,C0498,2023-09-18,57,
E0006,C0228,2026-11-01,38,
E0006,C0238,2026-11-12,100,2
E0006,C0208,2026-04-25,28,
E0006,C0239,2026-12-04,35,
E0006,C0252,2026-12-04,0,
E0006,C0456,2026-08-27,100,4
E0007,C0493,2023-08-28,67,
E0007,C0314,2023-06-19,46,
E0008,C0242,2025-04-08,100,2
E0008,C0206,2025-10-01,0,
E0008,C0243,2025-07-21,89,
E0008,C0227,2024-10-29,0,
E0008,C0208,2024-11-21,31,
E0008,C0180,2025-06-25,34,
E0008,C0141,2025-07-01,0,
E0009,C0195,2024-10-19,29,
E0009,C0207,2024-09-11,78,
E0009,C0239,2024-06-04,100,1
E0009,C0213,2024-08-22,63,
E0009,C0180,2025-03-12,100,5
E0009,C0386,2025-03-10,100,5
E0010,C0493,2026-06-23,100,
E0010,C0474,2026-06-07,0,
E0010,C0126,2026-03-30,54,
E0011,C0317,2026-08-27,27,
E0011,C0279,2026-07-04,100,2
E0011,C0283,2026-09-08,92,
E0011,C0265,2026-10-02,100,3
E0011,C0331,2026-07-05,100,
E0012,C0093,2024-04-30,40,
E0012,C0108,2024-02-14,100,5
E0012,C0158,2024-02-13,39,
E0012,C0113,2023-12-21,83,
E0012,C0137,2023-10-21,33,
E0012,C0096,2024-07-28,100,1
E0013,C0002,2024-08-31,100,
E0013,C0063,2024-05-16,100,4
E0013,C0060,2024-10-14,100,2
E0013,C0011,2024-10-31,100,
E0013,C0069,2024-06-01,100,5
E0013,C0027,2025-02-06,100,2
E0013,C0042,2024-08-29,100,4
E0013,C0359,2025-04-25,63,
E0014,C0257,2023-03-20,100,4
E0014,C0284,2023-06-11,100,3
E0014,C0281,2023-04-29,100,
