id,titre,categorie,sujet,niveau,prix,duree_heures,date_publication,professeur_id
C0001,Docker expliqué simplement,DevOps,Docker,debutant,129,5,2024-08-14,P001
C0002,Docker avancé : industrialiser des conteneurs en production,DevOps,Docker,avance,29,27,2024-01-15,P019
C0003,Docker : le guide complet,DevOps,Docker,debutant,19,7,2026-01-10,P025
C0004,Docker pour les débutants,DevOps,Docker,debutant,199,3,2023-02-14,P019
C0005,Docker par la pratique : industrialiser vos applications,DevOps,Docker,intermediaire,49,13,2025-12-09,P019
C0006,Maîtriser Docker,DevOps,Docker,debutant,49,3,2024-06-27,P007
C0007,Atelier Docker : un cluster,DevOps,Docker,avance,19,18,2023-06-08,P019
C0008,Kubernetes avancé : superviser des conteneurs en production,DevOps,Kubernetes,avance,39,23,2025-02-22,P013
C0009,Kubernetes : le guide complet,DevOps,Kubernetes,debutant,0,5,2025-07-31,P007
C0010,Les bases de Kubernetes,DevOps,Kubernetes,debutant,0,5,2025-02-14,P019
C0011,Kubernetes en pratique,DevOps,Kubernetes,debutant,129,12,2025-03-08,P019
C0012,Kubernetes pour les débutants,DevOps,Kubernetes,debutant,29,4,2026-04-04,P019
C0013,Kubernetes : de zéro à la production,DevOps,Kubernetes,avance,59,19,2024-04-18,P025
C0014,Kubernetes expliqué simplement,DevOps,Kubernetes,debutant,129,10,2023-04-08,P019
C0015,Terraform en pratique,DevOps,Terraform,debutant,0,5,2023-07-30,P025
C0016,Les bases de Terraform,DevOps,Terraform,debutant,149,9,2023-12-23,P007
C0017,Maîtriser Terraform,DevOps,Terraform,intermediaire,129,9,2024-02-27,P019
C0018,Terraform avancé : industrialiser des conteneurs en production,DevOps,Terraform,avance,59,17,2025-04-29,P025
C0019,Terraform par la pratique : automatiser un pipeline CI/CD,DevOps,Terraform,intermediaire,129,17,2024-10-29,P019
C0020,Terraform pour les débutants,DevOps,Terraform,debutant,99,5,2024-08-11,P013
C0021,Terraform expliqué simplement,DevOps,Terraform,debutant,29,4,2025-09-30,P001
C0022,Les bases de Ansible,DevOps,Ansible,debutant,149,10,2023-05-10,P013
C0023,Atelier Ansible : une infrastructure,DevOps,Ansible,avance,129,35,2025-10-16,P007
C0024,Ansible : de zéro à la production,DevOps,Ansible,intermediaire,99,19,2025-07-20,P013
C0025,Ansible expliqué simplement,DevOps,Ansible,debutant,39,4,2024-02-02,P025
C0026,Maîtriser Ansible,DevOps,Ansible,avance,19,45,2026-04-05,P007
C0027,Ansible en pratique,DevOps,Ansible,avance,99,19,2024-06-12,P007
C0028,Ansible avancé : superviser un cluster,DevOps,Ansible,avance,99,24,2025-01-03,P025
C0029,Atelier Jenkins : un cluster,DevOps,Jenkins,avance,39,19,2023-01-06,P001
C0030,Jenkins pour les débutants,DevOps,Jenkins,debutant,49,4,2023-10-01,P019
C0031,Jenkins : le guide complet,DevOps,Jenkins,debutant,19,9,2023-09-14,P001
C0032,Jenkins expliqué simplement,DevOps,Jenkins,debutant,0,7,2024-12-09,P019
C0033,Jenkins : de zéro à la production,DevOps,Jenkins,avance,99,42,2025-07-16,P025
C0034,Jenkins par la pratique : fiabiliser vos applications,DevOps,Jenkins,avance,29,15,2025-10-26,P019
C0035,Jenkins avancé : déployer un cluster,DevOps,Jenkins,avance,129,29,2024-09-22,P025
C0036,GitHub Actions : de zéro à la production,DevOps,GitHub Actions,debutant,49,3,2026-05-27,P025
C0037,GitHub Actions pour les débutants,DevOps,GitHub Actions,debutant,19,9,2025-07-17,P025
C0038,GitHub Actions expliqué simplement,DevOps,GitHub Actions,debutant,19,6,2025-04-26,P019
C0039,GitHub Actions en pratique,DevOps,GitHub Actions,avance,129,43,2026-03-07,P019
C0040,Les bases de GitHub Actions,DevOps,GitHub Actions,debutant,0,5,2026-06-30,P001
C0041,Atelier GitHub Actions : vos applications,DevOps,GitHub Actions,debutant,199,8,2025-05-15,P019
C0042,GitHub Actions avancé : industrialiser des conteneurs en production,DevOps,GitHub Actions,avance,99,45,2025-08-10,P001
C0043,Helm avancé : fiabiliser un cluster,DevOps,Helm,avance,0,43,2026-02-22,P001
C0044,Atelier Helm : des conteneurs en production,DevOps,Helm,debutant,199,7,2025-01-27,P013
C0045,Helm par la pratique : superviser un pipeline CI/CD,DevOps,Helm,debutant,199,4,2024-06-18,P025
C0046,Helm en pratique,DevOps,Helm,debutant,39,8,2025-06-06,P007
C0047,Helm : de zéro à la production,DevOps,Helm,intermediaire,49,11,2024-07-11,P001
C0048,Helm : le guide complet,DevOps,Helm,debutant,59,9,2023-07-01,P013
C0049,Helm pour les débutants,DevOps,Helm,debutant,149,4,2023-10-02,P001
C0050,GitLab CI par la pratique : déployer des conteneurs en production,DevOps,GitLab CI,avance,99,20,2024-03-02,P013
C0051,GitLab CI en pratique,DevOps,GitLab CI,intermediaire,149,25,2026-01-11,P025
C0052,Les bases de GitLab CI,DevOps,GitLab CI,debutant,19,4,2024-11-19,P025
C0053,Atelier GitLab CI : une infrastructure,DevOps,GitLab CI,intermediaire,29,12,2025-05-04,P025
C0054,GitLab CI pour les débutants,DevOps,GitLab CI,debutant,29,12,2023-01-25,P013
C0055,Maîtriser GitLab CI,DevOps,GitLab CI,intermediaire,19,12,2024-06-26,P007
C0056,GitLab CI : le guide complet,DevOps,GitLab CI,avance,79,15,2025-04-13,P013
C0057,Prometheus avancé : industrialiser vos applications,DevOps,Prometheus,avance,129,15,2024-02-28,P013
C0058,Prometheus pour les débutants,DevOps,Prometheus,debutant,59,4,2024-04-30,P013
C0059,Prometheus en pratique,DevOps,Prometheus,debutant,19,9,2025-03-13,P007
C0060,Les bases de Prometheus,DevOps,Prometheus,debutant,29,3,2024-02-19,P013
C0061,Maîtriser Prometheus,DevOps,Prometheus,debutant,59,3,2025-11-01,P001
C0062,Prometheus : de zéro à la production,DevOps,Prometheus,debutant,199,8,2026-02-14,P013
C0063,Atelier Prometheus : vos applications,DevOps,Prometheus,debutant,59,10,2024-08-04,P019
C0064,Grafana en pratique,DevOps,Grafana,debutant,129,10,2026-05-30,P007
C0065,Grafana expliqué simplement,DevOps,Grafana,debutant,49,10,2023-06-26,P007
C0066,Grafana : le guide complet,DevOps,Grafana,debutant,0,10,2024-05-21,P019
C0067,Les bases de Grafana,DevOps,Grafana,debutant,59,6,2025-11-01,P025
C0068,Maîtriser Grafana,DevOps,Grafana,intermediaire,0,14,2025-08-26,P019
