prerequis_id,cours_id
C0001,C0003
C0003,C0004
C0004,C0006
C0006,C0005
C0005,C0002
C0009,C0010
C0010,C0011
C0014,C0008
C0020,C0021
C0021,C0017
C0019,C0018
C0025,C0024
C0024,C0023
C0030,C0031
C0032,C0029
C0041,C0039
C0039,C0042
C0048,C0049
C0049,C0047
C0047,C0043
C0054,C0051
C0051,C0053
C0053,C0055
C0055,C0050
C0050,C0056
C0059,C0060
C0061,C0062
C0062,C0063
C0063,C0057
C0065,C0066
C0066,C0067
C0067,C0070
C0070,C0068
C0068,C0069
C0071,C0072
C0072,C0074
C0074,C0076
C0076,C0073
C0083,C0081
C0081,C0079
C0079,C0082
C0082,C0084
C0087,C0089
C0089,C0090
C0090,C0086
C0094,C0095
C0095,C0098
C0098,C0097
C0097,C0092
C0102,C0103
C0103,C0104
C0104,C0101
C0111,C0106
C0106,C0112
C0112,C0107
C0107,C0109
C0109,C0110
C0117,C0118
C0119,C0113
C0113,C0115
C0115,C0116
C0125,C0122
C0122,C0123
C0123,C0124
C0128,C0131
C0132,C0133
C0133,C0129
C0130,C0127
C0134,C0135
C0135,C0137
C0137,C0139
C0139,C0140
C0140,C0136
C0146,C0147
C0147,C0143
C0154,C0148
C0153,C0149
C0161,C0157
C0157,C0156
C0168,C0163
C0167,C0162
C0169,C0174
C0175,C0170
C0170,C0171
C0171,C0172
C0176,C0179
C0181,C0177
C0182,C0178
C0187,C0189
C0189,C0185
C0185,C0188
C0188,C0184
C0190,C0191
C0191,C0193
C0196,C0192
C0192,C0195
C0199,C0202
C0202,C0198
C0200,C0201
C0210,C0205
C0207,C0204
C0216,C0211
C0214,C0212
C0212,C0213
C0224,C0218
C0225,C0226
C0226,C0227
C0229,C0228
C0228,C0230
C0230,C0231
C0232,C0235
C0235,C0234
C0234,C0237
C0237,C0233
C0244,C0240
C0245,C0241
C0241,C0243
C0246,C0247
C0249,C0250
C0250,C0251
C0252,C0248
C0258,C0253
C0253,C0254
C0262,C0264
C0264,C0261
C0266,C0263
C0263,C0265
C0270,C0271
C0273,C0269
C0276,C0277
C0277,C0278
C0278,C0279
C0279,C0274
C0281,C0285
C0285,C0282
C0284,C0287
C0287,C0283
C0289,C0291
C0291,C0292
C0292,C0294
C0294,C0290
C0290,C0288
C0297,C0295
C0300,C0298
C0302,C0304
C0304,C0305
C0305,C0307
C0307,C0303
C0315,C0311
C0311,C0312
C0312,C0314
C0320,C0316
C0322,C0318
C0325,C0328
C0329,C0323
C0336,C0330
C0330,C0334
C0339,C0341
C0343,C0337
C0348,C0349
C0349,C0350
C0350,C0347
C0347,C0344
C0353,C0354
C0357,C0352
C0352,C0351
C0360,C0361
C0361,C0362
C0362,C0364
C0364,C0358
C0367,C0368
C0368,C0366
C0371,C0369
C0372,C0375
C0375,C0373
C0374,C0376
C0381,C0379
C0383,C0382
C0386,C0388
C0389,C0390
C0390,C0392
C0392,C0387
C0399,C0393
C0393,C0397
C0398,C0394
C0404,C0406
C0406,C0401
C0402,C0403
C0411,C0410
C0410,C0407
C0416,C0414
C0414,C0419
C0419,C0420
C0420,C0417
C0426,C0424
C0424,C0421
C0421,C0423
C0423,C0425
C0425,C0427
C0434,C0428
C0430,C0432
C0441,C0439
C0439,C0440
C0448,C0442
C0443,C0446
C0454,C0453
C0453,C0452
C0452,C0455
C0461,C0457
C0459,C0460
C0463,C0465
C0466,C0467
C0467,C0468
C0468,C0464
C0473,C0476
C0476,C0470
C0474,C0472
C0483,C0479
C0481,C0480
C0480,C0482
C0489,C0490
C0490,C0484
C0493,C0494
C0494,C0495
C0496,C0491
C0491,C0492
C0492,C0497
C0498,C0500
C0500,C0501
C0503,C0499
